start_time_event,start_time_censor,end_time_event,end_time_censor,n_events,n_censors,,,
0.0001,0.375,0.7499,10000,1,0,,,
0.75,1.125,1.5,10000,1,0,,,
1.5,1.875,2.25,10000,3,0,,,
2.25,2.625,3,10000,4,0,,,
3,3.375,3.75,10000,5,0,,,
3.75,4.125,4.5,10000,6,0,,,
4.5,4.875,5.25,10000,3,0,,,
5.25,5.625,6,10000,3,0,,,
6,6.375,6.75,10000,3,0,,,
6.75,7.125,7.5,10000,4,0,,,
7.5,7.875,8.25,10000,4,0,,,
8.25,8.625,9,10000,6,0,,,
9,9.375,9.75,10000,4,0,,,
9.75,10.125,10.5,10000,5,0,,,
10.5,10.875,11.25,10000,2,0,,,
11.25,11.625,12,10000,1,0,,,
12,12.375,12.75,10000,1,0,,,
12.75,13.125,13.5,10000,2,0,,,
13.5,13.875,14.25,10000,1,0,,,
14.25,14.625,15,10000,1,0,,,
15,15.375,15.75,10000,3,1,,,
15.75,16.125,16.5,10000,2,1,,,
16.5,16.875,17.25,10000,3,1,,,
17.25,17.625,18,10000,4,1,,,
18,18.375,18.75,10000,4,2,,,
18.75,19.125,19.5,10000,0,2,,,
19.5,19.875,20.25,10000,1,2,,,
20.25,20.625,21,10000,2,2,,,
21,21.375,21.75,10000,3,5,,,
21.75,22.125,22.5,10000,1,5,,,
22.5,22.875,23.25,10000,1,5,,,
23.25,23.625,24,10000,0,5,,,
24,24.375,24.75,10000,0,3,,,
24.75,25.125,25.5,10000,0,3,,,
25.5,25.875,26.25,10000,0,3,,,
26.25,26.625,27,10000,0,3,,,
27,27.375,27.75,10000,0,1,,,
27.75,28.125,28.5,10000,0,1,,,
28.5,28.875,29.25,10000,0,1,,,
29.25,29.625,30,10000,0,1,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
