a_value,price_drug,relative_price,EV_total,policy_indicator
0.1,10.393419127633653,-30,17.15560590486565,Policy 1
0.1,11.135806208178913,-25,17.08436120959078,Policy 1
0.1,11.878193288724171,-20,17.015391700596574,Policy 1
0.1,12.620580369269437,-15,16.94891451389608,Policy 1
0.1,13.362967449814697,-10,16.88491793193541,Policy 1
0.1,14.105354530359955,-5,16.823268116378856,Policy 1
0.1,14.84774161090522,0,16.764149909253927,Policy 1
0.1,15.59012869145048,5,16.707398219146327,Policy 1
0.1,16.33251577199574,10,16.6530977181091,Policy 1
0.1,17.074902852541005,15,16.601283843526502,Policy 1
0.1,17.817289933086265,20,16.5519008568397,Policy 1
0.1,18.559677013631525,25,16.50501289253253,Policy 1
0.1,19.30206409417679,30,16.46050401639985,Policy 1
0.2,10.393419127633653,-30,16.905138820123288,Policy 1
0.2,11.135806208178913,-25,16.82772315625376,Policy 1
0.2,11.878193288724171,-20,16.75340556794283,Policy 1
0.2,12.620580369269437,-15,16.682425363296968,Policy 1
0.2,13.362967449814697,-10,16.614899531411314,Policy 1
0.2,14.105354530359955,-5,16.55101233632757,Policy 1
0.2,14.84774161090522,0,16.49066093310924,Policy 1
0.2,15.59012869145048,5,16.433862709590127,Policy 1
0.2,16.33251577199574,10,16.38065509466561,Policy 1
0.2,17.074902852541005,15,16.331029929479378,Policy 1
0.2,17.817289933086265,20,16.28500311198393,Policy 1
0.2,18.559677013631525,25,16.242417564810616,Policy 1
0.2,19.30206409417679,30,16.20323492276267,Policy 1
0.3,10.393419127633653,-30,16.800705120127276,Policy 1
0.3,11.135806208178913,-25,16.718004101469813,Policy 1
0.3,11.878193288724171,-20,16.639196062032504,Policy 1
0.3,12.620580369269437,-15,16.56436007804089,Policy 1
0.3,13.362967449814697,-10,16.49376401954721,Policy 1
0.3,14.105354530359955,-5,16.427708112965217,Policy 1
0.3,14.84774161090522,0,16.366239355447625,Policy 1
0.3,15.59012869145048,5,16.309340473215734,Policy 1
0.3,16.33251577199574,10,16.25704776907156,Policy 1
0.3,17.074902852541005,15,16.209359018529664,Policy 1
0.3,17.817289933086265,20,16.16616097451588,Policy 1
0.3,18.559677013631525,25,16.127329808023518,Policy 1
0.3,19.30206409417679,30,16.09269771483117,Policy 1
0.4,10.393419127633653,-30,16.743827343518003,Policy 1
0.4,11.135806208178913,-25,16.65654420897695,Policy 1
0.4,11.878193288724171,-20,16.573481108719434,Policy 1
0.4,12.620580369269437,-15,16.495154497524084,Policy 1
0.4,13.362967449814697,-10,16.421700922966835,Policy 1
0.4,14.105354530359955,-5,16.353568089998152,Policy 1
0.4,14.84774161090522,0,16.291012517332504,Policy 1
0.4,15.59012869145048,5,16.233989851070476,Policy 1
0.4,16.33251577199574,10,16.182551517757584,Policy 1
0.4,17.074902852541005,15,16.136663229924544,Policy 1
0.4,17.817289933086265,20,16.096142944038938,Policy 1
0.4,18.559677013631525,25,16.060773585884398,Policy 1
0.4,19.30206409417679,30,16.030117336471804,Policy 1
0.5,10.393419127633653,-30,16.709137105954394,Policy 1
0.5,11.135806208178913,-25,16.61789006701045,Policy 1
0.5,11.878193288724171,-20,16.5310325734761,Policy 1
0.5,12.620580369269437,-15,16.449304277015457,Policy 1
0.5,13.362967449814697,-10,16.373180028391026,Policy 1
0.5,14.105354530359955,-5,16.30302951737548,Policy 1
0.5,14.84774161090522,0,16.239377600698997,Policy 1
0.5,15.59012869145048,5,16.182225845128354,Policy 1
0.5,16.33251577199574,10,16.13161964336565,Policy 1
0.5,17.074902852541005,15,16.08747604371052,Policy 1
0.5,17.817289933086265,20,16.049527135451594,Policy 1
0.5,18.559677013631525,25,16.01735628739303,Policy 1
0.5,19.30206409417679,30,15.990416434395833,Policy 1
0.6,10.393419127633653,-30,16.686876642360723,Policy 1
0.6,11.135806208178913,-25,16.592054921150094,Policy 1
0.6,11.878193288724171,-20,16.50183060125168,Policy 1
0.6,12.620580369269437,-15,16.416868385523138,Policy 1
0.6,13.362967449814697,-10,16.338131850779565,Policy 1
0.6,14.105354530359955,-5,16.266034053258025,Policy 1
0.6,14.84774161090522,0,16.201281043594086,Policy 1
0.6,15.59012869145048,5,16.14398976726387,Policy 1
0.6,16.33251577199574,10,16.09420835678595,Policy 1
0.6,17.074902852541005,15,16.051780368345668,Policy 1
0.6,17.817289933086265,20,16.01633354308818,Policy 1
0.6,18.559677013631525,25,15.987140160494627,Policy 1
0.6,19.30206409417679,30,15.963764372798325,Policy 1
0.7000000000000001,10.393419127633653,-30,16.672106122599477,Policy 1
0.7000000000000001,11.135806208178913,-25,16.574280046763956,Policy 1
0.7000000000000001,11.878193288724171,-20,16.480899564359596,Policy 1
0.7000000000000001,12.620580369269437,-15,16.39301751564888,Policy 1
0.7000000000000001,13.362967449814697,-10,16.31167526023126,Policy 1
0.7000000000000001,14.105354530359955,-5,16.237679793797465,Policy 1
0.7000000000000001,14.84774161090522,0,16.171816194349184,Policy 1
0.7000000000000001,15.59012869145048,5,16.11438464496889,Policy 1
0.7000000000000001,16.33251577199574,10,16.065425779665365,Policy 1
0.7000000000000001,17.074902852541005,15,16.02469541198249,Policy 1
0.7000000000000001,17.817289933086265,20,15.991637927400205,Policy 1
0.7000000000000001,18.559677013631525,25,15.965403046610716,Policy 1
0.7000000000000001,19.30206409417679,30,15.945290948321743,Policy 1
0.8,10.393419127633653,-30,16.66216279784423,Policy 1
0.8,11.135806208178913,-25,16.561785419631008,Policy 1
0.8,11.878193288724171,-20,16.465609595437595,Policy 1
0.8,12.620580369269437,-15,16.374983315843984,Policy 1
0.8,13.362967449814697,-10,16.29111059842928,Policy 1
0.8,14.105354530359955,-5,16.21524303514623,Policy 1
0.8,14.84774161090522,0,16.148264236117374,Policy 1
0.8,15.59012869145048,5,16.09068794879163,Policy 1
0.8,16.33251577199574,10,16.042545766994873,Policy 1
0.8,17.074902852541005,15,16.003519061737368,Policy 1
0.8,17.817289933086265,20,15.972759864426056,Policy 1
0.8,18.559677013631525,25,15.949365683243675,Policy 1
0.8,19.30206409417679,30,15.932236089573092,Policy 1
0.9,10.393419127633653,-30,16.655511682927067,Policy 1
0.9,11.135806208178913,-25,16.552868269732603,Policy 1
0.9,11.878193288724171,-20,16.454277779677888,Policy 1
0.9,12.620580369269437,-15,16.361068348926178,Policy 1
0.9,13.362967449814697,-10,16.274806692920887,Policy 1
0.9,14.105354530359955,-5,16.19708368646688,Policy 1
