a_value,price_drug,relative_price,EV_total,policy_indicator
0.1,13.362967449814697,-10,16.88491793193541,Policy 1
0.2,13.362967449814697,-10,16.614899531411314,Policy 1
0.3,13.362967449814697,-10,16.49376401954721,Policy 1
0.4,13.362967449814697,-10,16.421700922966835,Policy 1
0.5,13.362967449814697,-10,16.373180028391026,Policy 1
0.6,13.362967449814697,-10,16.338131850779565,Policy 1
0.7000000000000001,13.362967449814697,-10,16.31167526023126,Policy 1
0.8,13.362967449814697,-10,16.29111059842928,Policy 1
0.9,13.362967449814697,-10,16.274806692920887,Policy 1
1.0,13.362967449814697,-10,16.26169819538284,Policy 1
0.1,13.362967449814697,-10,16.721482445969308,Policy 2
0.2,13.362967449814697,-10,16.57328393677156,Policy 2
0.3,13.362967449814697,-10,16.506803521037813,Policy 2
0.4,13.362967449814697,-10,16.467254134390306,Policy 2
0.5,13.362967449814697,-10,16.440623229076824,Policy 2
0.6,13.362967449814697,-10,16.42138468219755,Policy 2
0.7000000000000001,13.362967449814697,-10,16.406859913494525,Policy 2
0.8,13.362967449814697,-10,16.39556754132951,Policy 2
0.9,13.362967449814697,-10,16.386612534064973,Policy 2
1.0,13.362967449814697,-10,16.37941038775204,Policy 2
0.1,13.362967449814697,-10,16.34736751933523,Policy 3
0.2,13.362967449814697,-10,16.346155531537974,Policy 3
0.3,13.362967449814697,-10,16.345618601014994,Policy 3
0.4,13.362967449814697,-10,16.34529852674782,Policy 3
0.5,13.362967449814697,-10,16.345080097388564,Policy 3
0.6,13.362967449814697,-10,16.344918859533994,Policy 3
0.7000000000000001,13.362967449814697,-10,16.34479354554633,Policy 3
0.8,13.362967449814697,-10,16.34469253284919,Policy 3
0.9,13.362967449814697,-10,16.344608862552015,Policy 3
1.0,13.362967449814697,-10,16.344538079968054,Policy 3
0.1,13.362967449814697,-10,15.905117772562312,Policy 4
0.2,13.362967449814697,-10,15.905117772562312,Policy 4
0.3,13.362967449814697,-10,15.905117772562312,Policy 4
0.4,13.362967449814697,-10,15.905117772562312,Policy 4
0.5,13.362967449814697,-10,15.905117772562312,Policy 4
0.6,13.362967449814697,-10,15.905117772562312,Policy 4
0.7000000000000001,13.362967449814697,-10,15.905117772562312,Policy 4
0.8,13.362967449814697,-10,15.905117772562312,Policy 4
0.9,13.362967449814697,-10,15.905117772562312,Policy 4
1.0,13.362967449814697,-10,15.905117772562312,Policy 4
