a_value,price_drug,sample_size_new,EVPI_pp,EVSI_pp,EVPI,EVSI,ENBS
1.0,14.847741610905215,300,5771.925307422429,1956.5375178800127,3.640872210202775,1.2341641129534298,0.5458835717341499
1.0,14.847741610905215,400,5897.367945407324,2476.0860894469697,3.720000159766919,1.5618901065029576,0.6292685657184982
1.0,14.847741610905215,500,5781.639622201565,2705.380956280409,3.646999901889123,1.706526993526159,0.686851040332035
1.0,14.847741610905215,600,5894.438318750152,3128.6841223111296,3.718152180849269,1.9735423569630697,0.7283553585313339
1.0,14.847741610905215,619,5731.945753490996,3028.844226600726,3.6156535112189054,1.9105643587387853,0.7287210867072945
1.0,14.847741610905215,700,5672.596350584539,3119.6467616522023,3.578216507060801,1.9678416811011767,0.771329536780838
1.0,14.847741610905215,800,5637.571649726255,3323.540324400816,3.556123279370968,2.096455681960827,0.7901397344066468
1.0,14.847741610905215,900,5679.243553255372,3545.134691951745,3.582409495394988,2.2362351717813445,0.8103482036541786
1.0,14.847741610905215,1000,5579.210630686564,3583.654335771622,3.5193097377772338,2.2605329742061864,0.8344769894598999
0.75,14.847741610905215,300,6997.8492920326535,2423.949627226957,4.414172682689598,1.5290029525075606,0.6247235423367157
0.75,14.847741610905215,400,7144.752065178553,3041.2781893973734,4.506837468850436,1.9184075769368436,0.7246119606811333
0.75,14.847741610905215,500,7034.362108115885,3343.2788854473147,4.437204598439223,2.1089065669872102,0.7944685846414413
0.75,14.847741610905215,600,7138.1057114780815,3820.919373674617,4.502645016038183,2.410197364672717,0.8451524314048576
0.75,14.847741610905215,619,6970.388493621234,3726.062641743876,4.396850688297615,2.3503626958503108,0.8463588316378289
0.75,14.847741610905215,700,6929.743191530288,3866.785384751216,4.371212042096161,2.439129181393717,0.8974029445675507
0.75,14.847741610905215,800,6878.442781773516,4100.271278938832,4.338852261553739,2.586409726159058,0.921213865489624
0.75,14.847741610905215,900,6913.924699839321,4352.485986259326,4.3612338972419815,2.745504217161349,0.9466040402285462
0.75,14.847741610905215,1000,6820.988023760812,4424.389903855143,4.30261038026616,2.7908604824343364,0.976383699947689
0.5,14.847741610905215,300,9129.771918844655,3223.3767389340537,5.758967951658288,2.033273503506224,0.7595694487251052
0.5,14.847741610905215,400,9312.339206831166,4009.454842005296,5.874129553709406,2.529123634629817,0.887942485654213
0.5,14.847741610905215,500,9212.28059458756,4437.061149938712,5.811013591304152,2.7988533765341583,0.9790075349430504
0.5,14.847741610905215,600,9297.927386729916,5008.95915022866,5.865038723092176,3.159600861199039,1.0456187413684768
0.5,14.847741610905215,619,9125.219670951374,4924.077824536947,5.756096439646983,3.1060585779198853,1.0485087804562034
0.5,14.847741610905215,700,9114.477861851832,5150.889053730964,5.749320614916969,3.2491288113951,1.11410419571397
0.5,14.847741610905215,800,9036.010937534533,5436.113015800489,5.699824471264597,3.429045207029577,1.1466633712187042
0.5,14.847741610905215,900,9060.52469972572,5742.145023578985,5.715287504962321,3.622087107817941,1.181165062996067
0.5,14.847741610905215,1000,8979.777177232983,5872.678114845756,5.664352783005946,3.704426063918757,1.2208734894135629
